file;OLD;NEW
create_functions_access_levels.sql;list_access_levels;access_level_list
create_functions_access_levels.sql;access_levels_delete;access_level_delete
create_functions_access_levels.sql;access_levels_insert;access_level_insert
create_functions_access_levels.sql;set_access_level_default;access_level_set_default
create_functions_access_levels.sql;change_access_level_dataset;dataset_change_access_level
create_functions_calendar.sql;create_release;release_create
create_functions_calendar.sql;update_release;release_update
create_functions_calendar.sql;cancel_release;release_cancel
create_functions_calendar.sql;list_releases;release_list
create_functions_calendar.sql;get_next_release_for_sets;release_get_next
create_functions_calendar.sql;get_latest_release_for_sets;release_get_latest
create_functions_calendar.sql;get_target_release_for_sets;release_get
create_functions_collections.sql;insert_collect_from_tmp;collection_insert
create_functions_collections.sql;keys_in_collection;collection_get_keys
create_functions_collections.sql;collection_remove;collection_remove_keys
create_functions_collections.sql;collection_delete;collection_delete
create_functions_collections.sql;read_ts_collection_raw;ts_read_collection_raw
create_functions_collections.sql;list_collections;collection_list
create_functions_collections.sql;collection_get_last_update;collection_get_last_update
create_functions_datasets.sql;dataset_exists;dataset_exists
create_functions_datasets.sql;create_dataset;dataset_create
create_functions_datasets.sql;keys_in_dataset;dataset_get_keys
create_functions_datasets.sql;get_set_of_keys;keys_get_dataset
create_functions_datasets.sql;assign_dataset;dataset_add_keys
create_functions_datasets.sql;list_datasets;dataset_list
create_functions_datasets.sql;dataset_update;dataset_update
create_functions_datasets.sql;dataset_delete;dataset_delete
create_functions_datasets.sql;dataset_trim;dataset_trim_history
create_functions_datasets.sql;read_ts_dataset_raw;ts_read_dataset_raw
create_functions_datasets.sql;dataset_get_last_update;dataset_get_last_update
create_functions_metadata.sql;md_unlocal_upsert;metadata_unlocalized_upsert
create_functions_metadata.sql;md_local_upsert;metadata_localized_upsert
create_functions_metadata.sql;build_meta_status;build_meta_status
create_functions_metadata.sql;read_metadata_raw;metadata_read_raw
create_functions_metadata.sql;read_collection_metadata_raw;metadata_collection_read_raw
create_functions_metadata.sql;read_dataset_metadata_raw;metadata_dataset_read_raw
create_functions_metadata.sql;read_metadata_localized_raw;metadata_localized_read_raw
create_functions_metadata.sql;read_collection_metadata_localized_raw;metadata_collection_localized_read_raw
create_functions_metadata.sql;read_dataset_metadata_localized_raw;metadata_dataset_localized_read_raw
create_functions_metadata.sql;get_latest_vintages_metadata;metadata_get_latest_vintages
create_functions_metadata.sql;get_latest_vintages_metadata_localized;metadata_localized_get_latest_vintages
create_functions_ts.sql;insert_from_tmp;ts_insert
create_functions_ts.sql;fill_read_tmp_regex;keys_fill_read_regex
create_functions_ts.sql;change_access_level;ts_change_access_level
create_functions_ts.sql;read_ts_raw;ts_read_raw
create_functions_ts.sql;read_ts_history_raw;ts_read_history_raw
create_functions_ts.sql;delete_ts;ts_delete
create_functions_ts.sql;delete_ts_edge;ts_delete_edge
create_functions_ts.sql;delete_ts_old_vintages;ts_trim_history
create_functions_ts.sql;ts_get_last_update;ts_get_last_update
create_functions_ts.sql;rename_ts;ts_rename
create_triggers.sql;prevent_delete_default_dataset;prevent_delete_default_dataset
create_triggers.sql;ensure_access_level_is_role;ensure_access_level_is_role
create_triggers.sql;prevent_delete_default_access_level;prevent_delete_default_access_level
